"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00362013","DANVILLE, PA US","1961-12-21",,,
"USC00362013","DANVILLE, PA US","1961-12-22",,,
"USC00362013","DANVILLE, PA US","1961-12-23",,,
"USC00362013","DANVILLE, PA US","1961-12-24",,,
"USC00362013","DANVILLE, PA US","1961-12-25",,,
"USC00362013","DANVILLE, PA US","1961-12-26",,,
"USC00362013","DANVILLE, PA US","1961-12-27",,,
"USC00362013","DANVILLE, PA US","1961-12-28",,,
"USC00362013","DANVILLE, PA US","1961-12-29",,,
"USC00362013","DANVILLE, PA US","1961-12-30",,,
"USC00362013","DANVILLE, PA US","1961-12-31",,,
"USC00362013","DANVILLE, PA US","1962-01-01",,,
"USC00362013","DANVILLE, PA US","1962-01-02",,,
"USC00362013","DANVILLE, PA US","1962-01-03",,,
"USC00362013","DANVILLE, PA US","1962-01-04",,,
"USC00362013","DANVILLE, PA US","1962-01-05",,,
"USC00362013","DANVILLE, PA US","1962-01-06",,,
"USC00362013","DANVILLE, PA US","1962-01-07",,,
"USC00362013","DANVILLE, PA US","1962-01-08",,,
"USC00362013","DANVILLE, PA US","1962-01-09",,,
"USC00362013","DANVILLE, PA US","1962-01-10",,,
"USC00362013","DANVILLE, PA US","1962-01-11",,,
"USC00362013","DANVILLE, PA US","1962-01-12",,,
"USC00362013","DANVILLE, PA US","1962-01-13",,,
"USC00362013","DANVILLE, PA US","1962-01-14",,,
"USC00362013","DANVILLE, PA US","1962-01-15",,,
"USC00362013","DANVILLE, PA US","1962-01-16",,,
"USC00362013","DANVILLE, PA US","1962-01-17",,,
"USC00362013","DANVILLE, PA US","1962-01-18",,,
"USC00362013","DANVILLE, PA US","1962-01-19",,,
"USC00362013","DANVILLE, PA US","1962-01-20",,,
"USC00362013","DANVILLE, PA US","1962-01-21",,,
"USC00362013","DANVILLE, PA US","1962-01-22",,,
"USC00362013","DANVILLE, PA US","1962-01-23",,,
"USC00362013","DANVILLE, PA US","1962-01-24",,,
"USC00362013","DANVILLE, PA US","1962-01-25",,,
"USC00362013","DANVILLE, PA US","1962-01-26",,,
"USC00362013","DANVILLE, PA US","1962-01-27",,,
"USC00362013","DANVILLE, PA US","1962-01-28",,,
"USC00362013","DANVILLE, PA US","1962-01-29",,,
"USC00362013","DANVILLE, PA US","1962-01-30",,,
"USC00362013","DANVILLE, PA US","1962-01-31",,,
"USC00362013","DANVILLE, PA US","1962-02-01",,,
