,STATION,NAME,DATE,TMAX,TMIN,TOBS
14222,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-23,65.0,43.0,44.0
14223,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-24,67.0,38.0,39.0
14224,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-25,69.0,38.0,40.0
14225,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-26,70.0,38.0,50.0
14226,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-27,75.0,45.0,48.0
14227,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-28,76.0,45.0,53.0
14228,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-29,65.0,52.0,62.0
14229,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-30,72.0,60.0,62.0
14230,USC00365817,"MILLVILLE 2 SW, PA US",1979-10-01,68.0,60.0,61.0
14231,USC00365817,"MILLVILLE 2 SW, PA US",1979-10-02,67.0,59.0,63.0
14232,USC00365817,"MILLVILLE 2 SW, PA US",1979-10-03,70.0,60.0,64.0
14587,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-22,86.0,64.0,73.0
14588,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-23,87.0,69.0,70.0
14589,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-24,74.0,46.0,48.0
14590,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-25,72.0,46.0,57.0
14591,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-26,60.0,54.0,58.0
14592,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-27,64.0,37.0,38.0
14593,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-28,63.0,36.0,39.0
14594,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-29,70.0,39.0,47.0
14595,USC00365817,"MILLVILLE 2 SW, PA US",1980-09-30,72.0,45.0,51.0
14596,USC00365817,"MILLVILLE 2 SW, PA US",1980-10-01,73.0,44.0,45.0
14597,USC00365817,"MILLVILLE 2 SW, PA US",1980-10-02,78.0,43.0,60.0
14598,USC00365817,"MILLVILLE 2 SW, PA US",1980-10-03,67.0,48.0,50.0
